what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1494751228898
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1494751228898
java.specification.name,sysinfo,,,"Java Platform API Specification",1494751228898
java.specification.vendor,sysinfo,,,"Oracle Corporation",1494751228898
java.specification.version,sysinfo,,,"1.8",1494751228898
java.vendor,sysinfo,,,"Oracle Corporation",1494751228898
java.version,sysinfo,,,"1.8.0_121",1494751228898
java.vm.info,sysinfo,,,"mixed mode",1494751228898
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1494751228898
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1494751228898
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1494751228898
java.vm.specification.version,sysinfo,,,"1.8",1494751228898
java.vm.vendor,sysinfo,,,"Oracle Corporation",1494751228898
java.vm.version,sysinfo,,,"25.121-b13",1494751228898
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1494751230214
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1494751230225
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1494751230234
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1494751230280
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1494751230285
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1494751230343
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1494751230590
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1494751230593
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1494751230595
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1494751230634
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1494751230689
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1494751231612
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1494751231624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751231916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751232184
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1494751235534
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1494751235539
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1494751235627
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1494751238832
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751255903
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1494751260322
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1494751260359
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1494751260367
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1494751260400
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1494751282070
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751282099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1494751290999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751294263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751298036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751298052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1494751298178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751298187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751305849
started,bundle,org.eclipse.emf.mint,0.9.0.v201006142335,"org.eclipse.emf.mint",1494751308295
started,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1494751308296
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1494751308305
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1494751308337
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1494751308428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1494751308428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494751308445
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1494751311646
started,bundle,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.PDT",1494751311648
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1494751311682
opened,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494751312032
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494751312056
